book_id,search_key,book_title,book_subtitle,book_authors,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year,publisher
v1jvDwAAQBAJ,python,LEARN PYTHON WITH 200 PROGRAMS,"PRACTICAL GUIDE FOR CBSE XI,XII & BEGINEERS",VAISHALI B BHAGAT,"The main aim of this book is to provide easiest approach to understand and develop programming skills.This book is for the novice,students having programming background,teachers and professionals.This book contains 240 and more practical examples.The sample programs are meant to be both simple and educational.Whenever necessary,pictorial practical implementation of source code are included to improve clarity and facilitate better understanding.Code with comments are given in the book to elaborate how various lines of code work.The three programming projects in book will give insight on how to integrate the various features of Python programming in real life problems.All programs in this book were written and tested successfully while running Python version 3.3. Version 3.4.This book aims to help you learn this wonderful language and show how to get things done quickly and painlessly.","ISBN_13:9781649510747, ISBN_10:1649510748",False,True,374,Computers,en,http://books.google.com/books/content?id=v1jvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,5,IN,FOR_SALE,True,1062,INR,531,INR,https://play.google.com/store/books/details?id=v1jvDwAAQBAJ&rdid=book-v1jvDwAAQBAJ&rdot=1&source=gbs_api,2020,Notion Press 
KZvM0AEACAAJ,python,Effective Python,90 Specific Ways to Write Better Python (2nd Edition),Brett Slatkin,,"ISBN_10:7115634068, ISBN_13:9787115634061",False,False,0,Computer programming,en,,0,0,IN,NOT_FOR_SALE,False,0,,0,,,2024,
flRFgvAU7N8C,python,Programming in Python 3,A Complete Introduction to the Python Language,Mark Summerfield,"A Fully Revised Edition Featuring New Material on Coroutines, Debugging, Testing, Parsing, String Formatting, and More Python 3 is the best version of the language yet: It is more powerful, convenient, consistent, and expressive than ever before. Now, leading Python programmer Mark Summerfield demonstrates how to write code that takes full advantage of Python 3’s features and idioms. Programming in Python 3, Second Edition, brings together all the knowledge you need to write any program, use any standard or third-party Python 3 library, and create new library modules of your own. Summerfield draws on his many years of Python experience to share deep insights into Python 3 development you won’t find anywhere else. He begins by illuminating Python’s “beautiful heart”: the eight key elements of Python you need to write robust, high-performance programs. Building on these core elements, he introduces new topics designed to strengthen your practical expertise–one concept and hands-on example at a time. Coverage includes Developing in Python using procedural, objectoriented, and functional programming paradigms Creating custom packages and modules Writing and reading binary, text, and XML files, including optional compression, random access, and text and XML parsing Leveraging advanced data types, collections, control structures, and functions Spreading program workloads across multiple processes and threads Programming SQL databases and key—value DBM files Debugging techniques–and using Test Driven Development to avoid bugs in the first place Utilizing Python’s regular expression mini-language and module Parsing techniques, including how to use the third-party PyParsing and PLY modules Building usable, efficient, GUI-based applications Advanced programming techniques, including generators, function and class decorators, context managers, descriptors, abstract base classes, metaclasses, coroutines, and more Programming in Python 3, Second Edition, serves as both tutorial and language reference. It assumes some prior programming experience, and it is accompanied by extensive downloadable example code–all of it tested with Python 3 on Windows, Linux, and Mac OS X.","ISBN_13:9780321699879, ISBN_10:0321699874",True,True,648,Computers,en,http://books.google.com/books/content?id=flRFgvAU7N8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0,IN,NOT_FOR_SALE,False,0,,0,,,2009,Addison-Wesley Professional
igYvDwAAQBAJ,python,Python Crash Course,"A Hands-On, Project-Based Introduction to Programming",Eric Matthes,"Python Crash Course is a fast-paced, thorough introduction to Python that will have you writing programs, solving problems, and making things that work in no time. In the first half of the book, you’ll learn about basic programming concepts, such as lists, dictionaries, classes, and loops, and practice writing clean and readable code with exercises for each topic. You’ll also learn how to make your programs interactive and how to test your code safely before adding it to a project. In the second half of the book, you’ll put your new knowledge into practice with three substantial projects: a Space Invaders–inspired arcade game, data visualizations with Python’s super-handy libraries, and a simple web app you can deploy online. As you work through Python Crash Course you’ll learn how to: –Use powerful Python libraries and tools, including matplotlib, NumPy, and Pygal –Make 2D games that respond to keypresses and mouse clicks, and that grow more difficult as the game progresses –Work with data to generate interactive visualizations –Create and customize Web apps and deploy them safely online –Deal with mistakes and errors so you can solve your own programming problems If you’ve been thinking seriously about digging into programming, Python Crash Course will get you up to speed and have you writing real programs fast. Why wait any longer? Start your engines and code! Uses Python 2 and 3","ISBN_13:9781593277390, ISBN_10:1593277393",True,False,564,Computers,en,http://books.google.com/books/content?id=igYvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,5,IN,NOT_FOR_SALE,False,0,,0,,,2015,No Starch Press
6HgFEAAAQBAJ,python,Taming PYTHON By Programming,,Jeeva Jose,This is a great book for Python Beginner and Advanced Learner which covers Basics to Advanced Python Programming where each topic is explained with the help of Illustrations and Examples. More than 450 solved programs of this book are tested in Python 3.4.3 for windows. The range of Python Topics covered makes this book unique which can be used as a self study material or for instructor assisted teaching. This books covers Python Syllabus of all major national and international universities. Also it includes frequently asked questions for interviews and examination which are provided at the end of each chapter.,"ISBN_13:9789386173348, ISBN_10:9386173344",False,True,346,Computers,en,http://books.google.com/books/content?id=6HgFEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0,IN,FOR_SALE,True,395.3,INR,276.71,INR,https://play.google.com/store/books/details?id=6HgFEAAAQBAJ&rdid=book-6HgFEAAAQBAJ&rdot=1&source=gbs_api,,KHANNA PUBLISHING HOUSE
__wvEQAAQBAJ,python,Powerful Python,,Aaron Maxwell,"Once you've mastered the basics of Python, how do you skill up to the top 1%? How do you focus your learning time on topics that yield the most benefit for production engineering and data teams—without getting distracted by info of little real-world use? This book answers these questions and more. Based on author Aaron Maxwell's software engineering career in Silicon Valley, this unique book focuses on the Python first principles that act to accelerate everything else: the 5% of programming knowledge that makes the remaining 95% fall like dominos. It's also this knowledge that helps you become an exceptional Python programmer, fast. Learn how to think like a Pythonista: explore advanced Pythonic thinking Create lists, dicts, and other data structures using a high-level, readable, and maintainable syntax Explore higher-order function abstractions that form the basis of Python libraries Examine Python's metaprogramming tool for priceless patterns of code reuse Master Python's error model and learn how to leverage it in your own code Learn the more potent and advanced tools of Python's object system Take a deep dive into Python's automated testing and TDD Learn how Python logging helps you troubleshoot and debug more quickly","ISBN_13:9781098175672, ISBN_10:1098175670",False,True,200,,en,http://books.google.com/books/content?id=__wvEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0,IN,NOT_FOR_SALE,False,0,,0,,,2024,"""O'Reilly Media, Inc."""
HFeGvgEACAAJ,python,The Quick Python Book,,"Vernon L. Ceder, Naomi R. Ceder","Introduces the programming language's syntax, control flow, and basic data structures and covers its interaction with applications and mangement of large collections of code.","ISBN_10:193518220X, ISBN_13:9781935182207",False,False,336,Computers,en,http://books.google.com/books/content?id=HFeGvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0,0,IN,NOT_FOR_SALE,False,0,,0,,,2010,Manning Publications Company
bIZHCgAAQBAJ,python,Fluent Python,"Clear, Concise, and Effective Programming",Luciano Ramalho,"Python’s simplicity lets you become productive quickly, but this often means you aren’t using everything it has to offer. With this hands-on guide, you’ll learn how to write effective, idiomatic Python code by leveraging its best—and possibly most neglected—features. Author Luciano Ramalho takes you through Python’s core language features and libraries, and shows you how to make your code shorter, faster, and more readable at the same time. Many experienced programmers try to bend Python to fit patterns they learned from other languages, and never discover Python features outside of their experience. With this book, those Python programmers will thoroughly learn how to become proficient in Python 3. This book covers: Python data model: understand how special methods are the key to the consistent behavior of objects Data structures: take full advantage of built-in types, and understand the text vs bytes duality in the Unicode age Functions as objects: view Python functions as first-class objects, and understand how this affects popular design patterns Object-oriented idioms: build classes by learning about references, mutability, interfaces, operator overloading, and multiple inheritance Control flow: leverage context managers, generators, coroutines, and concurrency with the concurrent.futures and asyncio packages Metaprogramming: understand how properties, attribute descriptors, class decorators, and metaclasses work","ISBN_13:9781491946251, ISBN_10:1491946253",True,True,755,Computers,en,http://books.google.com/books/content?id=bIZHCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2,5,IN,NOT_FOR_SALE,False,0,,0,,,2015,"""O'Reilly Media, Inc."""
ePyeNz2Eoy8C,python,Learning Python,Powerful Object-Oriented Programming,Mark Lutz,"""Based on author Mark Lutz's popular training course, this updated fifth edition will help you quickly write efficient, high-quality code with Python. It's an ideal way to begin, whether you're new to programming or a professional developer versed in other languages.""--Provided by publisher.","ISBN_13:9781449355715, ISBN_10:1449355714",False,True,1645,Computers,en,http://books.google.com/books/content?id=ePyeNz2Eoy8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1,1,IN,NOT_FOR_SALE,False,0,,0,,,2013,"""O'Reilly Media, Inc."""
7AyCDwAAQBAJ,python,1000 Python Interview Questions and Answers,1000 most important and frequently asked interview questions and answers for cracking interviews,Vamsee Puligadda,"Get that job, you aspire for! Want to switch to that high paying job? Or are you already been preparing hard to give interview the next weekend? Do you know how many people get rejected in interviews by preparing only concepts but not focusing on actually which questions will be asked in the interview? Don't be that person this time. This is the most comprehensive Python language interview questions book that you can ever find out. It contains: 1000 most frequently asked and important PYTHON interview questions and answers Wide range of questions which cover not only basics in Python Language but also most advanced and complex questions which will help freshers, experienced professionals, senior developers, testers to crack their interviews.",,False,True,252,Computers,en,http://books.google.com/books/content?id=7AyCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0,0,IN,FOR_SALE,True,206.5,INR,144.55,INR,https://play.google.com/store/books/details?id=7AyCDwAAQBAJ&rdid=book-7AyCDwAAQBAJ&rdot=1&source=gbs_api,2018,Vamsee Puligadda
